CCD积分时间:1.000000
采样次数:0
内存单元 0:=0.000000
内存单元 1:=0.000000
内存单元 2:=0.000000
内存单元 3:=0.000000
内存单元 4:=0.000000
内存单元 5:=0.000000
内存单元 6:=0.000000
内存单元 7:=0.000000
内存单元 8:=0.000000
内存单元 9:=0.000000
内存单元 10:=0.000000
内存单元 11:=0.000000
内存单元 12:=0.000000
内存单元 13:=0.000000
内存单元 14:=0.000000
内存单元 15:=0.000000
内存单元 16:=0.000000
内存单元 17:=0.000000
内存单元 18:=0.000000
内存单元 19:=0.000000
内存单元 20:=0.000000
内存单元 21:=0.000000
内存单元 22:=0.000000
内存单元 23:=0.000000
内存单元 24:=0.000000
内存单元 25:=0.000000
内存单元 26:=0.000000
内存单元 27:=0.000000
内存单元 28:=0.000000
内存单元 29:=0.000000
内存单元 30:=0.000000
内存单元 31:=0.000000
内存单元 32:=0.000000
内存单元 33:=0.000000
内存单元 34:=0.000000
内存单元 35:=0.000000
内存单元 36:=0.000000
内存单元 37:=0.000000
内存单元 38:=0.000000
内存单元 39:=0.000000
内存单元 40:=0.000000
内存单元 41:=0.000000
内存单元 42:=0.000000
内存单元 43:=0.000000
内存单元 44:=0.000000
内存单元 45:=0.000000
内存单元 46:=0.000000
内存单元 47:=0.000000
内存单元 48:=0.000000
内存单元 49:=0.000000
内存单元 50:=0.000000
内存单元 51:=0.000000
内存单元 52:=0.000000
内存单元 53:=0.000000
内存单元 54:=0.000000
内存单元 55:=0.000000
内存单元 56:=0.000000
内存单元 57:=0.000000
内存单元 58:=0.000000
内存单元 59:=0.000000
内存单元 60:=0.000000
内存单元 61:=0.000000
内存单元 62:=0.000000
内存单元 63:=0.000000
内存单元 64:=0.000000
内存单元 65:=0.000000
内存单元 66:=0.000000
内存单元 67:=0.000000
内存单元 68:=0.000000
内存单元 69:=0.000000
内存单元 70:=0.000000
内存单元 71:=0.000000
内存单元 72:=0.000000
内存单元 73:=0.000000
内存单元 74:=0.000000
内存单元 75:=0.000000
内存单元 76:=0.000000
内存单元 77:=0.000000
内存单元 78:=0.000000
内存单元 79:=0.000000
内存单元 80:=0.000000
内存单元 81:=0.000000
内存单元 82:=0.000000
内存单元 83:=0.000000
内存单元 84:=0.000000
内存单元 85:=0.000000
内存单元 86:=0.000000
内存单元 87:=0.000000
内存单元 88:=0.000000
内存单元 89:=0.000000
内存单元 90:=0.000000
内存单元 91:=0.000000
内存单元 92:=0.000000
内存单元 93:=0.000000
内存单元 94:=0.000000
内存单元 95:=0.000000
内存单元 96:=0.000000
内存单元 97:=0.000000
内存单元 98:=0.000000
内存单元 99:=0.000000
内存单元 100:=0.000000
内存单元 101:=0.000000
内存单元 102:=0.000000
内存单元 103:=0.000000
内存单元 104:=0.000000
内存单元 105:=0.000000
内存单元 106:=0.000000
内存单元 107:=0.000000
内存单元 108:=0.000000
内存单元 109:=0.000000
内存单元 110:=0.000000
内存单元 111:=0.000000
内存单元 112:=0.000000
内存单元 113:=0.000000
内存单元 114:=0.000000
内存单元 115:=0.000000
内存单元 116:=0.000000
内存单元 117:=0.000000
内存单元 118:=0.000000
内存单元 119:=0.000000
内存单元 120:=0.000000
内存单元 121:=0.000000
内存单元 122:=0.000000
内存单元 123:=0.000000
内存单元 124:=0.000000
内存单元 125:=0.000000
内存单元 126:=0.000000
内存单元 127:=0.000000
内存单元 128:=0.000000
内存单元 129:=0.000000
内存单元 130:=0.000000
内存单元 131:=0.000000
内存单元 132:=0.000000
内存单元 133:=0.000000
内存单元 134:=0.000000
内存单元 135:=0.000000
内存单元 136:=0.000000
内存单元 137:=0.000000
内存单元 138:=0.000000
内存单元 139:=0.000000
内存单元 140:=0.000000
内存单元 141:=0.000000
内存单元 142:=0.000000
内存单元 143:=0.000000
内存单元 144:=0.000000
内存单元 145:=0.000000
内存单元 146:=0.000000
内存单元 147:=0.000000
内存单元 148:=0.000000
内存单元 149:=0.000000
内存单元 150:=0.000000
内存单元 151:=0.000000
内存单元 152:=0.000000
内存单元 153:=0.000000
内存单元 154:=0.000000
内存单元 155:=0.000000
内存单元 156:=0.000000
内存单元 157:=0.000000
内存单元 158:=0.000000
